Type,Name,Net Payment This Period,Comparable Payment Prior Year,Period Percent Change,Payment Year to Date,Prior Year Payment Year to Date,Year Percent Change,Report Period,Report Year,Report Period Type
COUNTY,Morris,$1271.31,$937.82,35.56%,$1916.10,$2124.68,-9.82%,2,2016,"QUARTERLY"""
CITY,Canadian,$1515.82,$2105.18,-28%,$3573.71,$4933.83,-27.57%,2,2016,"QUARTERLY"""
CITY,Canadian,$1515.82,$2105.18,-28%,$3573.71,$4933.83,-27.57%,2,2016,"QUARTERLY"""
COUNTY,Lamar,$12861.60,$12964.61,-0.79%,$42090.20,$41728.38,0.87%,3,2015,"QUARTERLY"""
CITY,Bowie,$1586.70,$1142.59,38.87%,$3341.27,$2235.97,49.43%,2,2014,"QUARTERLY"""
CITY,West Tawakoni,$1962.55,$1545.16,27.01%,$7370.56,$7946.59,-7.25%,4,2015,"QUARTERLY"""
CITY,Nocona,$309.83,$218.75,41.64%,$796.61,$860.63,-7.44%,3,2013,"QUARTERLY"""
COUNTY,Montgomery,$349689.98,$328776.10,6.36%,$659802.59,$619622.37,6.48%,2,2013,"QUARTERLY"""
CITY,Midland,$169784.12,$179912.38,-5.63%,$362027.68,$339686.84,6.58%,2,2015,"QUARTERLY"""
COUNTY,Hale,$6924.95,$6318.30,9.6%,$14279.93,$13620.48,4.84%,2,2014,"QUARTERLY"""
CITY,Coppell,$20559.17,$18171.03,13.14%,$54913.32,$39533.59,38.9%,3,2014,"QUARTERLY"""
CITY,Lindsay,$939.79,$1008.16,-6.78%,$939.79,$1008.16,-6.78%,1,2014,"QUARTERLY"""
CITY,Del Rio,$19689.35,$17254.82,14.11%,$56896.73,$55404.71,2.69%,3,2015,"QUARTERLY"""
CITY,Shamrock,$2105.96,$1854.90,13.53%,$4212.68,$3185.61,32.24%,2,2014,"QUARTERLY"""
CITY,Cedar Park,$57436.98,$43867.37,30.93%,$222308.04,$184904.04,20.23%,4,2015,"QUARTERLY"""
CITY,Fredericksburg,$30034.76,$29047.87,3.4%,$30034.76,$29047.87,3.4%,1,2016,"QUARTERLY"""
CITY,Lufkin,$18689.61,$19224.10,-2.78%,$38536.09,$39670.39,-2.86%,2,2013,"QUARTERLY"""
CITY,Hereford,$1323.84,$1264.08,4.73%,$1323.84,$1264.08,4.73%,1,2013,"QUARTERLY"""
CITY,Bridge City,$1442.53,$1619.07,-10.9%,$6529.68,$5791.12,12.75%,4,2015,"QUARTERLY"""
CITY,Jacksboro,$607.09,$390.81,55.34%,$1469.84,$1193.05,23.2%,3,2013,"QUARTERLY"""
CITY,Lockhart,$733.34,$469.18,56.3%,$733.34,$469.18,56.3%,1,2013,"QUARTERLY"""
CITY,Brady,$236.92,$162.60,45.71%,$484.09,$607.01,-20.25%,3,2013,"QUARTERLY"""
CITY,Decatur,$5400.37,$5127.89,5.31%,$21392.18,$20913.06,2.29%,4,2015,"QUARTERLY"""
CITY,Brady,$204.39,$187.55,8.98%,$204.39,$187.55,8.98%,1,2015,"QUARTERLY"""
CITY,Livingston,$1517.96,$1206.79,25.78%,$1517.96,$1206.79,25.78%,1,2013,"QUARTERLY"""
CITY,Manor,$1380.12,$709.53,94.51%,$2678.38,$963.26,178.05%,2,2015,"QUARTERLY"""
CITY,South Padre Island,$53660.35,$46148.41,16.28%,$53660.35,$46148.41,16.28%,1,2016,"QUARTERLY"""
CITY,Dalhart,$505.14,$197.22,156.13%,$1455.05,$828.55,75.61%,3,2014,"QUARTERLY"""
COUNTY,Terry,$110.56,$231.16,-52.17%,$110.56,$231.16,-52.17%,1,2015,"QUARTERLY"""
COUNTY,Archer,$374.54,$412.62,-9.23%,$841.12,$948.23,-11.3%,2,2016,"QUARTERLY"""
COUNTY,Archer,$374.54,$412.62,-9.23%,$841.12,$948.23,-11.3%,2,2016,"QUARTERLY"""
CITY,Morgans Point Resort,$317.91,$0.00,0%,$317.91,$0.00,0%,1,2015,"QUARTERLY"""
COUNTY,Jim Wells,$12022.27,$19451.84,-38.19%,$36050.00,$37749.89,-4.5%,3,2014,"QUARTERLY"""
CITY,Cleveland,$4075.71,$3425.21,18.99%,$15113.59,$12254.27,23.33%,4,2013,"QUARTERLY"""
CITY,Bonham,$2149.71,$2323.79,-7.49%,$6612.07,$6219.90,6.31%,3,2014,"QUARTERLY"""
CITY,Hallettsville,$1079.97,$821.71,31.43%,$1079.97,$821.71,31.43%,1,2014,"QUARTERLY"""
CITY,Weston Lakes,$626.87,$607.42,3.2%,$2552.05,$2401.57,6.27%,4,2015,"QUARTERLY"""
CITY,Cibolo,$1111.13,$791.03,40.47%,$4369.51,$3536.66,23.55%,4,2013,"QUARTERLY"""
COUNTY,Lavaca,$2159.54,$2276.80,-5.15%,$7010.32,$6889.81,1.75%,3,2015,"QUARTERLY"""
CITY,Farmersville,$215.72,$62.26,246.48%,$766.59,$156.62,389.46%,4,2013,"QUARTERLY"""
CITY,Cotulla,$1714.63,$469.67,265.07%,$3034.24,$918.94,230.19%,2,2013,"QUARTERLY"""
CITY,Hondo,$1153.98,$513.19,124.86%,$3355.29,$2862.35,17.22%,4,2015,"QUARTERLY"""
CITY,Harlingen,$45760.54,$45280.71,1.06%,$89596.89,$87500.99,2.4%,2,2015,"QUARTERLY"""
CITY,Gunter,$432.45,$406.52,6.38%,$684.48,$488.75,40.05%,2,2016,"QUARTERLY"""
CITY,Gunter,$432.45,$406.52,6.38%,$684.48,$488.75,40.05%,2,2016,"QUARTERLY"""
CITY,Westworth Village,$3961.99,$3364.64,17.75%,$6978.61,$5761.50,21.12%,2,2016,"QUARTERLY"""
CITY,Westworth Village,$3961.99,$3364.64,17.75%,$6978.61,$5761.50,21.12%,2,2016,"QUARTERLY"""
COUNTY,McLennan,$138487.95,$133176.08,3.99%,$587426.61,$524533.24,11.99%,4,2015,"QUARTERLY"""
CITY,Pilot Point,$2968.93,$2670.95,11.16%,$11703.05,$11001.94,6.37%,4,2015,"QUARTERLY"""
CITY,Lockhart,$1118.93,$911.00,22.82%,$3899.82,$2674.42,45.82%,4,2013,"QUARTERLY"""
CITY,Wharton,$2650.30,$2120.99,24.96%,$9590.72,$7765.60,23.5%,4,2014,"QUARTERLY"""
CITY,Spearman,$156.12,$485.48,-67.84%,$913.38,$1718.20,-46.84%,4,2014,"QUARTERLY"""
CITY,Archer City,$535.61,$421.64,27.03%,$535.61,$421.64,27.03%,1,2015,"QUARTERLY"""
CITY,Mesquite,$70367.79,$60405.89,16.49%,$70367.79,$60405.89,16.49%,1,2015,"QUARTERLY"""
COUNTY,Rockwall,$70704.29,$56483.46,25.18%,$177689.03,$156862.05,13.28%,3,2013,"QUARTERLY"""
COUNTY,San Jacinto,$2227.22,$1176.93,89.24%,$6906.65,$3589.71,92.4%,3,2015,"QUARTERLY"""
COUNTY,Palo Pinto,$10383.79,$10310.90,0.71%,$18225.94,$18312.16,-0.47%,2,2015,"QUARTERLY"""
COUNTY,Bosque,$1674.16,$1284.88,30.3%,$6215.26,$4993.36,24.47%,4,2013,"QUARTERLY"""
COUNTY,Hartley,$477.64,$511.14,-6.55%,$1372.30,$1068.90,28.38%,3,2014,"QUARTERLY"""
