Type,Name,Net Payment This Period,Comparable Payment Prior Year,Period Percent Change,Payment Year to Date,Prior Year Payment Year to Date,Year Percent Change,Report Period,Report Year,Report Period Type
COUNTY,Denton,$532881.11,$473604.16,12.52%,$1534113.67,$1414689.10,8.44%,3,2015,"QUARTERLY"""
COUNTY,Hockley,$1234.54,$827.58,49.17%,$2043.33,$1329.74,53.66%,2,2013,"QUARTERLY"""
CITY,Brady,$1528.89,$204.39,648.03%,$1528.89,$204.39,648.03%,1,2016,"QUARTERLY"""
CITY,Mineola,$3195.77,$1365.90,133.97%,$8604.79,$5097.98,68.79%,4,2013,"QUARTERLY"""
CITY,Princeton,$817.80,$787.25,3.88%,$3220.57,$2644.94,21.76%,4,2013,"QUARTERLY"""
COUNTY,Trinity,$1502.13,$1123.48,33.7%,$3925.69,$3255.59,20.58%,4,2013,"QUARTERLY"""
CITY,Kerens,$46.95,$63.15,-25.65%,$159.91,$177.32,-9.82%,3,2015,"QUARTERLY"""
CITY,League City,$32087.79,$28315.70,13.32%,$60233.98,$55988.97,7.58%,2,2013,"QUARTERLY"""
COUNTY,Guadalupe,$28024.69,$22449.48,24.83%,$28024.69,$22449.48,24.83%,1,2016,"QUARTERLY"""
CITY,Galena Park,$126.38,$111.25,13.6%,$343.85,$305.73,12.47%,3,2013,"QUARTERLY"""
CITY,Austin,$2533738.85,$2330602.08,8.72%,$2533738.85,$2330602.08,8.72%,1,2016,"QUARTERLY"""
CITY,Oak Leaf,$168.22,$0.00,0%,$464.74,$0.00,0%,3,2014,"QUARTERLY"""
CITY,Gunter,$252.03,$82.23,206.49%,$252.03,$82.23,206.49%,1,2016,"QUARTERLY"""
CITY,Coleman,$1668.20,$1339.93,24.5%,$5723.11,$4569.45,25.25%,4,2014,"QUARTERLY"""
CITY,Gainesville,$7012.46,$6072.70,15.48%,$13630.05,$13197.30,3.28%,2,2013,"QUARTERLY"""
CITY,Helotes,$12225.25,$7740.06,57.95%,$36537.65,$25942.13,40.84%,4,2014,"QUARTERLY"""
CITY,Kyle,$9352.13,$6601.24,41.67%,$17423.18,$11792.42,47.75%,2,2014,"QUARTERLY"""
CITY,Elgin,$2051.49,$1990.73,3.05%,$4028.13,$3940.33,2.23%,2,2013,"QUARTERLY"""
CITY,Bedford,$47860.40,$45080.30,6.17%,$148535.86,$117146.94,26.79%,3,2014,"QUARTERLY"""
CITY,Olney,$229.90,$261.45,-12.07%,$445.65,$504.93,-11.74%,3,2015,"QUARTERLY"""
CITY,Huntsville,$27567.73,$27348.83,0.8%,$27567.73,$27348.83,0.8%,1,2016,"QUARTERLY"""
CITY,Fairfield,$3270.20,$2534.67,29.02%,$7036.57,$4841.72,45.33%,2,2014,"QUARTERLY"""
CITY,Round Rock,$130784.51,$124591.80,4.97%,$210324.80,$231300.27,-9.07%,2,2015,"QUARTERLY"""
COUNTY,Dewitt,$3437.74,$3588.66,-4.21%,$3437.74,$3588.66,-4.21%,1,2015,"QUARTERLY"""
CITY,Meridian,$840.74,$769.32,9.28%,$3299.14,$1288.13,156.12%,4,2015,"QUARTERLY"""
CITY,Fort Worth,$928311.20,$695978.37,33.38%,$928311.20,$695978.37,33.38%,1,2014,"QUARTERLY"""
CITY,Trinity,$825.47,$445.15,85.44%,$1857.81,$1072.56,73.21%,3,2014,"QUARTERLY"""
CITY,Cactus,$323.73,$133.60,142.31%,$1194.74,$832.09,43.58%,4,2015,"QUARTERLY"""
CITY,Celina,$481.99,$619.65,-22.22%,$481.99,$619.65,-22.22%,1,2014,"QUARTERLY"""
CITY,Levelland,$2899.67,$697.54,315.7%,$6362.61,$3006.62,111.62%,4,2013,"QUARTERLY"""
CITY,Edinburg,$28674.55,$26457.35,8.38%,$28674.55,$26457.35,8.38%,1,2016,"QUARTERLY"""
CITY,Ingram,$739.09,$612.87,20.59%,$739.09,$612.87,20.59%,1,2013,"QUARTERLY"""
CITY,Dell City,$69.47,$109.22,-36.39%,$254.04,$268.39,-5.35%,4,2014,"QUARTERLY"""
COUNTY,Gregg,$54961.03,$42183.17,30.29%,$203390.81,$185256.70,9.79%,4,2013,"QUARTERLY"""
COUNTY,Dimmit,$3110.94,$5822.26,-46.57%,$17018.79,$21305.58,-20.12%,4,2015,"QUARTERLY"""
COUNTY,Childress,$992.30,$1478.73,-32.9%,$992.30,$1478.73,-32.9%,1,2016,"QUARTERLY"""
COUNTY,Bell,$137852.38,$113463.50,21.49%,$364661.54,$350593.04,4.01%,3,2013,"QUARTERLY"""
CITY,Orange,$5311.89,$4903.85,8.32%,$23683.97,$20088.13,17.9%,4,2015,"QUARTERLY"""
CITY,Perryton,$1479.38,$517.54,185.85%,$2733.70,$1876.92,45.65%,3,2013,"QUARTERLY"""
CITY,Del Rio,$17502.07,$16058.27,8.99%,$72906.78,$64020.76,13.88%,4,2014,"QUARTERLY"""
COUNTY,Uvalde,$5529.91,$6580.43,-15.96%,$5529.91,$6580.43,-15.96%,1,2016,"QUARTERLY"""
COUNTY,Bexar,$2374337.05,$2231197.31,6.42%,$2374337.05,$2231197.31,6.42%,1,2016,"QUARTERLY"""
CITY,Hedwig Village,$13355.00,$10696.99,24.85%,$40258.55,$23648.39,70.24%,3,2014,"QUARTERLY"""
COUNTY,Franklin,$1174.36,$890.38,31.89%,$2176.80,$1691.70,28.68%,2,2015,"QUARTERLY"""
CITY,Harker Heights,$36815.04,$27567.83,33.54%,$99696.37,$76116.30,30.98%,3,2014,"QUARTERLY"""
CITY,Glen Rose,$2474.90,$2764.66,-10.48%,$6782.25,$6636.16,2.2%,3,2015,"QUARTERLY"""
CITY,Fredericksburg,$29387.41,$29210.12,0.61%,$124099.37,$115673.25,7.28%,4,2015,"QUARTERLY"""
CITY,Shoreacres,$726.89,$848.66,-14.35%,$1660.48,$1700.69,-2.36%,2,2016,"QUARTERLY"""
CITY,Shoreacres,$726.89,$848.66,-14.35%,$1660.48,$1700.69,-2.36%,2,2016,"QUARTERLY"""
CITY,Dumas,$4745.94,$2844.19,66.86%,$4745.94,$2844.19,66.86%,1,2015,"QUARTERLY"""
COUNTY,Hudspeth,$75.78,$51.07,48.38%,$196.68,$184.57,6.56%,3,2015,"QUARTERLY"""
CITY,Kerrville,$18214.88,$19750.06,-7.77%,$35886.65,$37813.32,-5.1%,2,2016,"QUARTERLY"""
CITY,Kerrville,$18214.88,$19750.06,-7.77%,$35886.65,$37813.32,-5.1%,2,2016,"QUARTERLY"""
CITY,Fulshear,$6354.42,$4838.75,31.32%,$18797.96,$12997.38,44.63%,3,2014,"QUARTERLY"""
CITY,Lockhart,$1340.70,$1172.62,14.33%,$4070.72,$2780.89,46.38%,3,2014,"QUARTERLY"""
CITY,Irving,$200606.83,$185181.66,8.33%,$620322.28,$474588.24,30.71%,3,2014,"QUARTERLY"""
CITY,Yoakum,$218.35,$148.62,46.92%,$257.26,$594.62,-56.74%,2,2013,"QUARTERLY"""
CITY,Carthage,$1912.10,$2136.26,-10.49%,$1912.10,$2136.26,-10.49%,1,2016,"QUARTERLY"""
COUNTY,Rains,$389.72,$504.61,-22.77%,$1217.77,$982.93,23.89%,3,2014,"QUARTERLY"""
CITY,Stephenville,$12221.11,$11131.52,9.79%,$38632.96,$30949.41,24.83%,3,2014,"QUARTERLY"""
CITY,Panorama Village,$334.00,$233.59,42.99%,$334.00,$233.59,42.99%,1,2014,"QUARTERLY"""
CITY,Garden Ridge,$38.43,$42.72,-10.04%,$38.43,$42.72,-10.04%,1,2014,"QUARTERLY"""
CITY,Cameron,$528.74,$539.67,-2.03%,$2231.11,$2220.44,0.48%,4,2013,"QUARTERLY"""
CITY,Daingerfield,$196.75,$171.48,14.74%,$196.75,$171.48,14.74%,1,2013,"QUARTERLY"""
CITY,Winters,$21.32,$38.56,-44.71%,$58.87,$55.00,7.04%,2,2015,"QUARTERLY"""
CITY,Jacinto City,$1347.48,$1441.05,-6.49%,$1347.48,$1441.05,-6.49%,1,2013,"QUARTERLY"""
CITY,La Vernia,$42.24,$77.72,-45.65%,$104.74,$132.75,-21.1%,2,2014,"QUARTERLY"""
CITY,Honey Grove,$0.00,$129.46,-100%,$801.88,$674.65,18.86%,4,2015,"QUARTERLY"""
COUNTY,Childress,$1558.31,$1852.94,-15.9%,$4523.05,$5004.27,-9.62%,3,2015,"QUARTERLY"""
CITY,Waller,$809.58,$716.82,12.94%,$2354.13,$1778.92,32.33%,3,2014,"QUARTERLY"""
CITY,Vega,$596.08,$554.59,7.48%,$596.08,$554.59,7.48%,1,2013,"QUARTERLY"""
CITY,Bay City,$9024.88,$7295.71,23.7%,$9024.88,$7295.71,23.7%,1,2015,"QUARTERLY"""
CITY,Grand Prairie,$58721.63,$58419.61,0.52%,$254113.91,$259507.78,-2.08%,4,2015,"QUARTERLY"""
CITY,Taylor,$626.02,$603.06,3.81%,$1108.40,$1176.57,-5.79%,2,2013,"QUARTERLY"""
COUNTY,Lee,$1765.31,$2059.90,-14.3%,$3440.06,$3702.95,-7.1%,2,2015,"QUARTERLY"""
CITY,Seymour,$772.04,$772.02,0%,$2746.47,$2350.37,16.85%,3,2015,"QUARTERLY"""
COUNTY,Cochran,$194.61,$113.62,71.28%,$256.43,$143.64,78.52%,3,2015,"QUARTERLY"""
CITY,Corinth,$3628.79,$3203.24,13.28%,$3628.79,$3203.24,13.28%,1,2016,"QUARTERLY"""
CITY,Angleton,$7262.26,$8039.85,-9.67%,$7262.26,$8039.85,-9.67%,1,2013,"QUARTERLY"""
COUNTY,Andrews,$1428.91,$1004.33,42.27%,$2960.36,$1983.63,49.24%,2,2014,"QUARTERLY"""
CITY,Hutto,$6466.35,$5820.05,11.1%,$11730.37,$10633.50,10.32%,2,2015,"QUARTERLY"""
CITY,Lake Worth,$6817.89,$6130.04,11.22%,$25146.72,$22200.79,13.27%,4,2014,"QUARTERLY"""
CITY,Quanah,$0.00,$72.08,-100%,$0.00,$72.08,-100%,2,2013,"QUARTERLY"""
CITY,Childress,$1120.14,$1161.20,-3.54%,$2218.86,$2305.53,-3.76%,2,2013,"QUARTERLY"""
CITY,New Boston,$601.20,$321.49,87%,$846.44,$571.77,48.04%,2,2014,"QUARTERLY"""
CITY,Port Arthur,$38151.44,$41573.88,-8.23%,$77731.28,$84018.34,-7.48%,2,2016,"QUARTERLY"""
CITY,Port Arthur,$38151.44,$41573.88,-8.23%,$77731.28,$84018.34,-7.48%,2,2016,"QUARTERLY"""
CITY,Beeville,$7830.32,$8012.58,-2.27%,$7830.32,$8012.58,-2.27%,1,2015,"QUARTERLY"""
CITY,Edna,$339.46,$253.41,33.96%,$1041.71,$924.64,12.66%,4,2014,"QUARTERLY"""
CITY,Clifton,$160.40,$180.03,-10.9%,$710.20,$877.69,-19.08%,4,2015,"QUARTERLY"""
COUNTY,Brazoria,$119244.01,$81802.24,45.77%,$438713.83,$341961.51,28.29%,4,2013,"QUARTERLY"""
CITY,Decordova,$1081.83,$928.85,16.47%,$1955.41,$1684.17,16.11%,2,2014,"QUARTERLY"""
CITY,Stephenville,$11131.52,$9296.19,19.74%,$30949.41,$29876.28,3.59%,3,2013,"QUARTERLY"""
COUNTY,Reeves,$1131.96,$1391.86,-18.67%,$4257.32,$3681.35,15.65%,3,2015,"QUARTERLY"""
CITY,Liberty Hill,$2159.97,$1609.84,34.17%,$2159.97,$1609.84,34.17%,1,2015,"QUARTERLY"""
CITY,Round Top,$674.22,$493.99,36.48%,$2049.02,$1396.37,46.74%,3,2014,"QUARTERLY"""
CITY,Prairie View,$0.00,$0.00,0%,$104.33,$0.00,0%,2,2016,"QUARTERLY"""
CITY,Prairie View,$0.00,$0.00,0%,$104.33,$0.00,0%,2,2016,"QUARTERLY"""
CITY,Avinger,$342.52,$273.23,25.36%,$342.52,$273.23,25.36%,1,2016,"QUARTERLY"""
CITY,Corpus Christi,$325611.38,$302866.73,7.51%,$1342127.08,$1121598.56,19.66%,4,2014,"QUARTERLY"""
COUNTY,Chambers,$7864.27,$5514.37,42.61%,$7864.27,$5514.37,42.61%,1,2016,"QUARTERLY"""
CITY,Yorktown,$0.00,$508.30,-100%,$0.00,$508.30,-100%,1,2014,"QUARTERLY"""
CITY,Wallis,$121.37,$137.91,-11.99%,$121.37,$137.91,-11.99%,1,2014,"QUARTERLY"""
CITY,Whitewright,$1507.72,$1527.97,-1.33%,$2786.27,$2939.13,-5.2%,2,2015,"QUARTERLY"""
COUNTY,Sutton,$321.43,$281.03,14.38%,$520.93,$639.65,-18.56%,2,2014,"QUARTERLY"""
CITY,Krum,$475.19,$460.66,3.15%,$1992.15,$1904.30,4.61%,4,2015,"QUARTERLY"""
CITY,Walnut Springs,$650.88,$500.16,30.13%,$2474.51,$1204.87,105.38%,4,2015,"QUARTERLY"""
COUNTY,Wise,$9198.20,$10667.53,-13.77%,$29495.76,$31974.79,-7.75%,3,2015,"QUARTERLY"""
CITY,Baird,$333.36,$262.96,26.77%,$638.22,$595.61,7.15%,2,2015,"QUARTERLY"""
CITY,Teague,$185.12,$119.42,55.02%,$614.92,$322.16,90.87%,4,2014,"QUARTERLY"""
CITY,Edna,$252.66,$196.06,28.87%,$671.23,$532.97,25.94%,3,2013,"QUARTERLY"""
CITY,Celina,$1055.27,$852.47,23.79%,$1834.19,$1471.60,24.64%,2,2016,"QUARTERLY"""
CITY,Celina,$1055.27,$852.47,23.79%,$1834.19,$1471.60,24.64%,2,2016,"QUARTERLY"""
CITY,Orange,$4862.37,$4180.35,16.31%,$19933.24,$17574.76,13.42%,4,2013,"QUARTERLY"""
CITY,Clear Lake Shores,$7090.78,$7379.64,-3.91%,$7090.78,$7379.64,-3.91%,1,2016,"QUARTERLY"""
CITY,Kemah,$42516.26,$38100.51,11.59%,$42516.26,$38100.51,11.59%,1,2015,"QUARTERLY"""
CITY,Hickory Creek,$6.96,$1198.99,-99.42%,$6.96,$2548.82,-99.73%,2,2016,"QUARTERLY"""
CITY,Hickory Creek,$6.96,$1198.99,-99.42%,$6.96,$2548.82,-99.73%,2,2016,"QUARTERLY"""
CITY,Saint Jo,$79.31,$68.88,15.14%,$79.31,$68.88,15.14%,1,2016,"QUARTERLY"""
CITY,Weatherford,$20745.07,$19819.12,4.67%,$92941.70,$73352.76,26.71%,4,2014,"QUARTERLY"""
CITY,Coldspring,$233.66,$201.25,16.1%,$694.32,$1076.70,-35.51%,4,2014,"QUARTERLY"""
CITY,Balcones Heights,$9245.41,$9494.34,-2.62%,$9245.41,$9494.34,-2.62%,1,2015,"QUARTERLY"""
CITY,Pinehurst,$1479.19,$1250.01,18.33%,$1479.19,$1250.01,18.33%,1,2013,"QUARTERLY"""
COUNTY,McCulloch,$290.05,$250.17,15.94%,$494.44,$437.72,12.96%,2,2015,"QUARTERLY"""
COUNTY,Palo Pinto,$10230.35,$10009.57,2.21%,$40927.64,$39231.59,4.32%,4,2015,"QUARTERLY"""
CITY,Magnolia,$3869.61,$3208.40,20.61%,$3869.61,$3208.40,20.61%,1,2016,"QUARTERLY"""
CITY,Shavano Park,$3738.06,$3590.77,4.1%,$3738.06,$3590.77,4.1%,1,2013,"QUARTERLY"""
CITY,La Grange,$2325.86,$2199.42,5.75%,$7954.03,$7382.01,7.75%,3,2015,"QUARTERLY"""
CITY,Tyler,$73621.39,$69752.60,5.55%,$143872.96,$141654.21,1.57%,2,2013,"QUARTERLY"""
CITY,Jersey Village,$9930.81,$8864.75,12.03%,$26739.21,$27930.60,-4.27%,3,2013,"QUARTERLY"""
CITY,Farmers Branch,$18499.75,$20558.31,-10.01%,$55546.58,$67309.95,-17.48%,3,2015,"QUARTERLY"""
CITY,Live Oak,$20314.02,$22358.55,-9.14%,$92844.15,$80012.49,16.04%,4,2014,"QUARTERLY"""
COUNTY,Cherokee,$6546.40,$7350.72,-10.94%,$12619.57,$13078.28,-3.51%,2,2015,"QUARTERLY"""
COUNTY,Lubbock,$328285.56,$329835.73,-0.47%,$651990.16,$623670.08,4.54%,2,2015,"QUARTERLY"""
COUNTY,Real,$449.11,$435.31,3.17%,$2356.88,$1284.62,83.47%,4,2013,"QUARTERLY"""
CITY,Bellville,$1374.58,$1336.04,2.88%,$4259.54,$3831.47,11.17%,3,2015,"QUARTERLY"""
CITY,Henrietta,$21.98,$0.00,0%,$21.98,$0.00,0%,4,2014,"QUARTERLY"""
CITY,Horizon City,$4608.80,$2029.98,127.04%,$13054.00,$9653.68,35.22%,4,2015,"QUARTERLY"""
CITY,Dayton,$1179.62,$1042.20,13.19%,$2327.15,$1749.09,33.05%,2,2016,"QUARTERLY"""
CITY,Dayton,$1179.62,$1042.20,13.19%,$2327.15,$1749.09,33.05%,2,2016,"QUARTERLY"""
COUNTY,Jeff Davis,$510.29,$384.58,32.69%,$510.29,$384.58,32.69%,1,2015,"QUARTERLY"""
COUNTY,Lampasas,$2570.98,$2019.57,27.3%,$10291.83,$9871.49,4.26%,4,2013,"QUARTERLY"""
CITY,West Tawakoni,$1680.35,$2492.51,-32.58%,$3714.67,$3952.80,-6.02%,2,2015,"QUARTERLY"""
COUNTY,Gonzales,$4396.47,$4252.44,3.39%,$8761.38,$8016.92,9.29%,2,2015,"QUARTERLY"""
COUNTY,Johnson,$33730.78,$21577.36,56.32%,$62761.36,$41032.49,52.96%,2,2014,"QUARTERLY"""
CITY,Rockdale,$1155.33,$719.67,60.54%,$4289.83,$3562.54,20.41%,4,2014,"QUARTERLY"""
CITY,Huntsville,$24184.13,$26770.98,-9.66%,$80201.88,$78284.14,2.45%,3,2015,"QUARTERLY"""
COUNTY,Presidio,$4657.75,$4423.76,5.29%,$4657.75,$4423.76,5.29%,1,2015,"QUARTERLY"""
CITY,Sansom Park,$2843.58,$2446.80,16.22%,$2843.58,$2446.80,16.22%,1,2015,"QUARTERLY"""
CITY,Arcola,$710.12,$690.51,2.84%,$710.12,$690.51,2.84%,1,2016,"QUARTERLY"""
COUNTY,Knox,$90.89,$144.29,-37.01%,$153.50,$316.02,-51.43%,2,2014,"QUARTERLY"""
CITY,Kyle,$8297.81,$3210.07,158.49%,$20090.23,$7997.47,151.21%,3,2013,"QUARTERLY"""
COUNTY,Nolan,$2780.73,$2130.35,30.53%,$11278.85,$9004.70,25.26%,4,2015,"QUARTERLY"""
CITY,Boerne,$4101.06,$5360.51,-23.49%,$4101.06,$5360.51,-23.49%,1,2013,"QUARTERLY"""
CITY,Albany,$1064.72,$1088.79,-2.21%,$3246.43,$2869.80,13.12%,3,2014,"QUARTERLY"""
COUNTY,Williamson,$260356.80,$222755.25,16.88%,$768560.30,$556494.65,38.11%,3,2014,"QUARTERLY"""
COUNTY,Lee,$1674.75,$1643.05,1.93%,$1674.75,$1643.05,1.93%,1,2015,"QUARTERLY"""
CITY,Lubbock,$223995.00,$212428.80,5.44%,$223995.00,$212428.80,5.44%,1,2013,"QUARTERLY"""
CITY,Alice,$16370.99,$8996.77,81.97%,$31352.82,$26044.75,20.38%,3,2013,"QUARTERLY"""
CITY,Selma,$22885.20,$19503.38,17.34%,$58878.60,$45064.29,30.65%,3,2014,"QUARTERLY"""
CITY,Mission,$15380.47,$17291.04,-11.05%,$67256.53,$73947.58,-9.05%,4,2013,"QUARTERLY"""
CITY,Crowley,$1561.75,$587.26,165.94%,$2838.62,$646.17,339.3%,2,2015,"QUARTERLY"""
CITY,Oak Leaf,$137.05,$103.06,32.98%,$601.79,$103.06,483.92%,4,2014,"QUARTERLY"""
CITY,Salado,$3131.68,$2558.00,22.43%,$9508.14,$7405.36,28.4%,3,2015,"QUARTERLY"""
CITY,Chandler,$235.98,$198.56,18.85%,$453.25,$283.31,59.98%,2,2015,"QUARTERLY"""
COUNTY,Hardin,$4250.67,$2386.49,78.11%,$14168.71,$9771.45,45%,4,2013,"QUARTERLY"""
COUNTY,Bosque,$1455.47,$1303.47,11.66%,$2734.02,$2400.57,13.89%,2,2013,"QUARTERLY"""
COUNTY,Coryell,$9443.32,$8182.59,15.41%,$9443.32,$8182.59,15.41%,1,2016,"QUARTERLY"""
COUNTY,McLennan,$121461.00,$95294.50,27.46%,$314804.95,$292168.68,7.75%,3,2013,"QUARTERLY"""
CITY,Lake Dallas,$9255.71,$3163.08,192.62%,$9255.71,$3163.08,192.62%,1,2013,"QUARTERLY"""
COUNTY,Wharton,$7819.12,$4138.04,88.96%,$12901.52,$8918.49,44.66%,2,2014,"QUARTERLY"""
CITY,Rockwall,$67156.33,$61123.34,9.87%,$126794.79,$111404.28,13.82%,2,2015,"QUARTERLY"""
COUNTY,Jasper,$4289.91,$3358.26,27.74%,$4289.91,$3358.26,27.74%,1,2015,"QUARTERLY"""
CITY,Bullard,$248.75,$337.96,-26.4%,$454.77,$791.71,-42.56%,2,2016,"QUARTERLY"""
CITY,Bullard,$248.75,$337.96,-26.4%,$454.77,$791.71,-42.56%,2,2016,"QUARTERLY"""
COUNTY,Cherokee,$6558.72,$5307.15,23.58%,$17239.89,$17051.97,1.1%,3,2013,"QUARTERLY"""
CITY,The Colony,$87234.88,$64891.15,34.43%,$144214.55,$117096.88,23.16%,2,2016,"QUARTERLY"""
CITY,The Colony,$87234.88,$64891.15,34.43%,$144214.55,$117096.88,23.16%,2,2016,"QUARTERLY"""
CITY,Freeport,$5013.31,$5166.90,-2.97%,$5013.31,$5166.90,-2.97%,1,2013,"QUARTERLY"""
CITY,Bellaire,$4366.14,$1832.58,138.25%,$11588.96,$5695.99,103.46%,3,2013,"QUARTERLY"""
CITY,Kenedy,$2491.85,$3192.27,-21.94%,$4850.83,$5234.66,-7.33%,2,2016,"QUARTERLY"""
CITY,Kenedy,$2491.85,$3192.27,-21.94%,$4850.83,$5234.66,-7.33%,2,2016,"QUARTERLY"""
CITY,Killeen,$68918.44,$48254.11,42.82%,$125650.90,$94576.43,32.86%,2,2014,"QUARTERLY"""
CITY,Milford,$64.71,$70.44,-8.13%,$331.69,$257.55,28.79%,4,2014,"QUARTERLY"""
COUNTY,Polk,$12521.94,$13713.92,-8.69%,$38241.03,$36045.56,6.09%,3,2014,"QUARTERLY"""
CITY,Harlingen,$48587.05,$45760.54,6.18%,$94031.99,$89596.89,4.95%,2,2016,"QUARTERLY"""
CITY,Harlingen,$48587.05,$45760.54,6.18%,$94031.99,$89596.89,4.95%,2,2016,"QUARTERLY"""
CITY,Coffee City,$424.05,$0.00,0%,$838.06,$0.00,0%,2,2013,"QUARTERLY"""
CITY,Lone Star,$190.93,$362.42,-47.32%,$1155.11,$1513.20,-23.66%,4,2013,"QUARTERLY"""
CITY,Wills Point,$746.35,$206.18,261.99%,$746.35,$206.18,261.99%,1,2015,"QUARTERLY"""
CITY,Lakeway,$29204.24,$28888.90,1.09%,$83858.09,$73467.22,14.14%,3,2015,"QUARTERLY"""
CITY,Kilgore,$5706.70,$3295.31,73.18%,$12088.14,$9177.45,31.72%,3,2013,"QUARTERLY"""
COUNTY,Fayette,$6340.39,$3653.71,73.53%,$6340.39,$3653.71,73.53%,1,2014,"QUARTERLY"""
CITY,Horizon City,$2715.76,$721.07,276.63%,$5354.59,$1358.08,294.28%,2,2014,"QUARTERLY"""
CITY,Cactus,$98.74,$659.22,-85.02%,$98.74,$659.22,-85.02%,1,2013,"QUARTERLY"""
CITY,Palestine,$6486.13,$5502.57,17.87%,$11981.32,$11456.52,4.58%,2,2013,"QUARTERLY"""
COUNTY,Howard,$10527.29,$5487.86,91.83%,$38461.50,$22648.84,69.82%,4,2013,"QUARTERLY"""
CITY,Cockrell Hill,$191.82,$191.44,0.2%,$615.05,$336.21,82.94%,3,2014,"QUARTERLY"""
CITY,Rancho Viejo,$1755.23,$1367.51,28.35%,$3301.91,$3222.34,2.47%,2,2016,"QUARTERLY"""
CITY,Rancho Viejo,$1755.23,$1367.51,28.35%,$3301.91,$3222.34,2.47%,2,2016,"QUARTERLY"""
CITY,Hidalgo,$4728.88,$3976.87,18.91%,$19215.74,$14066.09,36.61%,4,2015,"QUARTERLY"""
CITY,Sonora,$301.64,$310.76,-2.93%,$593.46,$601.71,-1.37%,2,2016,"QUARTERLY"""
CITY,Sonora,$301.64,$310.76,-2.93%,$593.46,$601.71,-1.37%,2,2016,"QUARTERLY"""
CITY,Teague,$164.71,$39.74,314.47%,$239.88,$129.35,85.45%,2,2014,"QUARTERLY"""
CITY,Hill Country Village,$3456.74,$3717.85,-7.02%,$5648.75,$6715.05,-15.88%,2,2015,"QUARTERLY"""
CITY,Abilene,$89510.33,$73686.24,21.47%,$89510.33,$73686.24,21.47%,1,2015,"QUARTERLY"""
CITY,Waller,$694.66,$506.90,37.04%,$2473.58,$2085.08,18.63%,4,2013,"QUARTERLY"""
CITY,Dimmitt,$548.73,$497.06,10.4%,$1789.61,$1320.90,35.48%,3,2014,"QUARTERLY"""
COUNTY,Houston,$1660.16,$1890.95,-12.2%,$7493.06,$6579.57,13.88%,4,2014,"QUARTERLY"""
CITY,Haltom City,$3801.45,$2945.06,29.08%,$3801.45,$2945.06,29.08%,1,2016,"QUARTERLY"""
CITY,Highland Park,$51066.24,$49240.69,3.71%,$51066.24,$49240.69,3.71%,1,2016,"QUARTERLY"""
COUNTY,Washington,$11372.98,$12451.63,-8.66%,$47782.45,$45054.22,6.06%,4,2015,"QUARTERLY"""
CITY,Longview,$39857.22,$45230.57,-11.88%,$81923.47,$88944.75,-7.89%,2,2013,"QUARTERLY"""
CITY,Hillsboro,$2454.55,$1926.20,27.43%,$2454.55,$1926.20,27.43%,1,2014,"QUARTERLY"""
CITY,Quitman,$334.08,$400.60,-16.61%,$334.08,$400.60,-16.61%,1,2014,"QUARTERLY"""
CITY,Waco,$112934.23,$88058.09,28.25%,$406078.23,$361781.86,12.24%,4,2013,"QUARTERLY"""
CITY,Gunter,$152.71,$134.58,13.47%,$152.71,$134.58,13.47%,1,2013,"QUARTERLY"""
CITY,Omaha,$215.86,$9.54,2162.68%,$942.24,$1228.99,-23.33%,3,2015,"QUARTERLY"""
CITY,New Braunfels,$117767.40,$106050.39,11.05%,$219024.38,$190648.48,14.88%,2,2015,"QUARTERLY"""
COUNTY,Haskell,$463.98,$397.38,16.76%,$463.98,$397.38,16.76%,1,2015,"QUARTERLY"""
CITY,Pampa,$1499.27,$105.45,1321.78%,$1499.27,$105.45,1321.78%,1,2014,"QUARTERLY"""
CITY,Shoreacres,$852.97,$616.42,38.37%,$1717.30,$1249.16,37.48%,2,2014,"QUARTERLY"""
COUNTY,Scurry,$2504.21,$3622.88,-30.88%,$9384.91,$9554.36,-1.77%,3,2015,"QUARTERLY"""
CITY,Early,$3764.79,$2431.33,54.84%,$3764.79,$2431.33,54.84%,1,2015,"QUARTERLY"""
COUNTY,Gray,$2622.04,$1802.82,45.44%,$7809.94,$2997.20,160.57%,3,2014,"QUARTERLY"""
CITY,Friendswood,$7720.85,$6190.53,24.72%,$20192.16,$18388.79,9.81%,3,2013,"QUARTERLY"""
CITY,Jacksboro,$556.68,$461.33,20.67%,$2026.52,$1654.38,22.49%,4,2013,"QUARTERLY"""
CITY,Forney,$8874.41,$8425.21,5.33%,$8874.41,$8425.21,5.33%,1,2015,"QUARTERLY"""
CITY,Alamo Heights,$13362.23,$11213.23,19.16%,$40673.71,$40164.58,1.27%,3,2013,"QUARTERLY"""
COUNTY,Bandera,$6184.53,$3894.69,58.79%,$11627.68,$9590.72,21.24%,3,2014,"QUARTERLY"""
CITY,Texas City,$15743.49,$11670.46,34.9%,$40820.34,$36081.32,13.13%,3,2013,"QUARTERLY"""
CITY,East Bernard,$493.01,$372.53,32.34%,$868.78,$372.53,133.21%,2,2015,"QUARTERLY"""
CITY,Lago Vista,$1924.52,$1994.75,-3.52%,$4699.51,$5381.69,-12.68%,3,2013,"QUARTERLY"""
COUNTY,Hockley,$808.79,$502.16,61.06%,$808.79,$502.16,61.06%,1,2013,"QUARTERLY"""
